formula,state,H,S,G
(NH4)2O,(l),-430.70096,267.52496,-267.10656
(NH4)2SiF6,(s hexagonal),-2681.69296,280.24432,-2365.54992
(NH4)2SO4,(s),-1180.85032,220.0784,-901.90304
Ag,(s),0,42.55128,0
Ag,(g),284.55384,172.887064,245.68448
Ag+1,(aq),105.579056,72.67608,77.123672
Ag2,(g),409.99016,257.02312,358.778
Ag2C2O4,(s),-673.2056,209.2,-584.0864
Ag2CO3,(s),-505.8456,167.36,-436.8096
Ag2CrO4,(s),-731.73976,217.568,-641.8256
Ag2MoO4,(s),-840.5656,213.384,-748.0992
Ag2O,(s),-31.04528,121.336,-11.21312
Ag2O2,(s),-24.2672,117.152,27.6144
Ag2O3,(s),33.8904,100.416,121.336
Ag2S,(s beta),-29.41352,150.624,-39.45512
Ag2S,(s alpha orthorhombic),-32.59336,144.01328,-40.66848
Ag2Se,(s),-37.656,150.70768,-44.3504
Ag2SeO3,(s),-365.2632,230.12,-304.1768
Ag2SeO4,(s),-420.492,248.5296,-334.3016
Ag2SO3,(s),-490.7832,158.1552,-411.2872
Ag2SO4,(s),-715.8824,200.4136,-618.47888
Ag2Te,(s),-37.2376,154.808,43.0952
AgBr,(s),-100.37416,107.1104,-96.90144
AgBrO3,(s),-27.196,152.716,54.392
AgCl,(s),-127.06808,96.232,-109.804896
AgClO2,(s),8.7864,134.55744,75.7304
AgCN,(s),146.0216,107.19408,156.9
AgF.2H2O,(s),-800.8176,174.8912,-671.1136
AgI,(s),-61.83952,115.4784,-66.19088
AgIO3,(s),-171.1256,149.3688,-93.7216
AgN3,(s),308.7792,104.1816,376.1416
AgNO2,(s),-45.06168,128.19776,19.07904
AgNO3,(s),-124.39032,140.91712,-33.472
AgO,(s),-11.42232,57.78104,14.2256
AgOCN,(s),-95.3952,121.336,-58.1576
AgReO4,(s),-736.384,153.1344,-635.5496
AgSCN,(s),87.864,130.9592,101.37832
Al,(s),0,28.32568,0
Al,(l),8.66088,35.22928,6.61072
Al,(g),326.352,164.4312,285.7672
Al(BH4)3,(l),-16.3176,289.1144,144.7664
Al(BH4)3,(g),12.552,379.0704,146.44
Al(CH3)3,(l),-136.3984,209.4092,-10.0416
Al(NO3)3.6H2O,(s),-2850.47552,467.7712,-2203.88016
Al(NO3)3.9H2O,(s),-3757.06464,569.024,-2929.6368
Al(OH)3,(s),-1284.488,71.128,-1305.8264
Al+3,(aq),-531.368,-321.7496,-485.344
Al2(CH3)6,(g),-230.91496,524.6736,-9.79056
Al2(SO4)3,(s),-3435.064,239.3248,-3506.6104
Al2Br6,(g),-1020.896,547.2672,-947.2576
Al2Cl6,(g),-1295.3664,475.5116,-1220.8912
Al2F6,(g),-2631.736,387.02,-2539.688
Al2I6,(g),-506.264,584.0864,-560.656
Al2O,(g),-131.3776,259.408,-161.084
Al2O3,(l),-1581.1336,89.57944,-1499.25272
Al2O3,(s gamma-corundum),-1656.864,59.8312,-1562.724
Al2O3,(s alpha-corundum),-1675.2736,50.91928,-1581.9704
Al2O3.3H2O,(s gibbsite),-2562.7,140.20584,-2287.3928
Al2O3.H2O,(s boehmite),-1974.848,96.8596,-1825.4792
Al2O3.H2O,(s diaspore),-1999.952,70.54224,-1840.96
Al2Si2O7.2H2O,(s halloysite),-4079.8184,203.3424,-3759.324
Al2Si2O7.2H2O,(s kaolinite),-4098.6464,202.924,-3778.152
Al2SiO5,(s andalusite),-2591.988,93.3032,-2444.7112
Al2SiO5,(s kyanite),-2596.172,83.80552,-2443.8744
Al2SiO5,(s sillimanite),-2593.2432,96.19016,-2442.6192
Al4C3,(s),-207.27536,104.6,-238.44616
Al4C3,(g),-215.8944,89.1192,-203.3424
Al6BeO10,(l),-5299.4544,314.88784,-5034.1888
Al6BeO10,(s),-5624.1328,175.56064,-5317.4456
Al6Si2O13,(s mullite),-6819.92,274.8888,-6443.36
AlBO2,(g),-541.4096,269.4496,-550.6144
AlBr3,(s),-511.11744,180.24672,-488.31464
AlBr3,(l),-501.20136,206.4804,-486.26448
AlBr3,(g),-410.8688,349.07112,-438.4832
AlC,(g),689.5232,223.34192,633.0392
AlCl,(g),-51.4632,227.86064,-77.8224
AlCl2,(g),-288.696,288.2776,-299.5744
AlCl3,(g),-584.5048,314.30208,-570.07
AlCl3,(s),-705.6316,109.28608,-630.06856
AlCl3,(l),-674.79552,172.92472,-618.186
AlCl3.6H2O,(s),-2691.5672,376.56,-2269.4016
AlF,(g),-265.2656,215.0576,-290.788
AlF2,(g),-732.2,263.1736,-740.568
AlF3,(s),-1510.424,66.48376,-1430.928
AlF3,(g),-1209.176,276.7716,-1192.8584
AlF3.3H2O,(s),-2297.4344,209.2,-2051.8336
AlH,(g),259.24064,187.77792,231.166
AlI3,(l),-297.064,219.66,-301.248
AlI3,(g),-205.016,363.1712,-251.04
AlI3,(s),-309.616,189.5352,-305.432
AlN,(s),-317.984,20.16688,-287.0224
AlN,(g),435.136,211.7104,410.032
AlO,(g),83.68,218.27928,57.7392
AlOCl,(s),-793.2864,54.392,-737.26264
AlOCl,(g),-348.1088,248.82248,-350.2008
AlOF,(g),-586.5968,234.26216,-587.0152
AlOH,(g),-179.912,216.3128,-184.096
AlPO4,(s berlinite),-1692.0096,90.7928,-1601.2168
AlS,(g),200.832,230.49656,150.2056
Ar,(g),0,154.732688,0
Au,(g),366.1,180.39316,326.352
Au,(s),0,47.40472,0
Au(CN)2-1,(aq),242.2536,171.544,285.7672
AuBr4-1,(aq),-191.6272,335.9752,-167.36
AuCl4-1,(aq),-322.168,266.9392,-237.31648
AuH,(g),294.972,211.045144,265.684
B,(g),562.748,153.3436,518.816
B,(s),0,5.8576,0
B(CH3)3,(l),-143.0928,238.9064,-32.2168
B(CH3)3,(g),-124.2648,314.6368,-35.9824
B(OH)4-1,(aq),-1344.02632,102.508,-1153.3196
B2,(g),830.524,201.79432,774.04
B2Cl4,(l),-523,262.3368,-464.8424
B2H6,(g),35.564,232.0028,86.6088
B2O2,(g),-454.8008,242.37912,-462.332
B2O3,(g),-843.78728,279.7004,-831.9884
B2O3,(s amorphous),-1254.53056,77.8224,-1182.3984
B2O3,(s),-1272.7728,53.9736,-1193.6952
B3N3H6,(l),-540.9912,199.5768,-392.79392
B4C,(s),-71.128,27.11232,-71.128
B5H9,(l),42.6768,184.22152,171.66952
Ba,(s),0,62.3416,0
Ba,(g),179.0752,169.99592,146.8584
Ba,(l),4.97896,66.7348,3.84928
Ba(BrO3)2,(s),-752.65976,242.672,-577.392
Ba(BrO3)2.H2O,(s),-1054.7864,292.4616,-824.62456
Ba(ClO3)2,(s),-680.3184,196.648,-531.368
Ba(ClO4)2.3H2O,(s),-1691.5912,393.296,-1270.6808
Ba(IO3)2,(s),-1027.172,249.3664,-864.8328
Ba(IO3)2.H2O,(s),-1322.144,297.064,-1104.1576
Ba(N3)2.H2O,(s),-308.3608,188.28,-105.0184
Ba(NO3)2,(s),-992.06824,213.8024,-796.71728
Ba(OH)2.8H2O,(s),-3342.1792,426.768,-2793.2384
Ba(ReO4)2.4H2O,(s),-3368.12,376.56,-2918.34
Ba+2,(aq),-537.644,9.6232,-560.73968
Ba2TiO4,(s),-2243.0424,196.648,-2133.0032
BaBr2,(s),-757.304,146.44,-736.8024
BaBr2,(g),-439.32,330.536,-472.792
BaBr2.2H2O,(s),-1366.076,225.936,-1230.5144
BaCl2,(s),-858.1384,123.67904,-810.4408
BaCl2,(l),-832.44864,143.5112,-790.1484
BaCl2,(g),-498.7328,325.64072,-510.69904
BaCl2.2H2O,(s),-1460.13232,202.924,-1296.45424
BaCO3,(s witherite),-1216.2888,112.1312,-1137.6296
BaCrO4,(s),-1445.9904,158.5736,-1345.28152
BaF2,(s),-1208.7576,96.39936,-1158.5496
BaF2,(l),-1171.3108,121.25232,-1128.38296
BaF2,(g),-803.7464,301.16432,-814.49928
BaI2,(g),-302.9216,348.1088,-353.42248
BaI2,(l),-585.88552,183.6776,-587.39176
BaI2,(s),-605.4248,165.14248,-601.40816
BaMoO4,(s),-1548.08,138.072,-1439.7144
BaO,(s),-548.104,72.09032,-520.40592
BaO,(l),-491.62,96.56672,-471.24392
BaO,(g),-123.8464,235.35,-144.80824
BaS,(s),-460.24,78.2408,-456.056
BaSeO3,(s),-1040.5608,167.36,-968.1776
BaSeO4,(s),-1146.416,175.728,-1044.7448
BaSiF6,(s),-2952.2304,163.176,-2794.0752
BaSiO3,(s),-1623.6012,109.6208,-1540.25592
BaSO4,(s),-1473.1864,132.2144,-1362.3104
BaTiO3,(s),-1659.7928,107.9472,-1572.3472
BaZrO3,(s),-1779.4552,124.6832,-1694.52
BBr,(g),238.0696,224.89,195.3928
BBr3,(g),-205.6436,324.13448,-232.46304
BBr3,(l),-239.7432,229.7016,-238.488
BCl,(g),149.49432,213.13296,120.9176
BCl2F,(g),-645.1728,284.512,-631.3656
BCl3,(g),-403.756,289.99304,-388.73544
BCl3,(l),-427.1864,206.2712,-387.4384
BClF2,(g),-890.3552,271.96,-876.1296
Be,(g),324.26,136.1892,286.604
Be,(l),12.04992,16.5268,9.95792
Be,(s),0,9.53952,0
Be(OH)2,(s beta),-905.836,46.024,-816.7168
Be+2,(aq),-382.836,-129.704,-379.698
Be2C,(s),-117.152,16.3176,-87.864
Be2SiO4,(s),-2149.3208,64.30808,-2032.5872
Be3N2,(s cubic),-588.2704,34.14144,-533.0416
BeAl2O4,(s),-2300.7816,66.27456,-2178.6088
BeBr2,(s),-369.8656,106.2736,-353.1296
BeC2,(g),564.84,218.4048,506.264
BeCl2,(s beta),-496.2224,75.81408,-449.52896
BeF2,(a alpha),-1026.7536,53.346,-979.4744
BeH,(g),326.7704,170.87456,298.3192
BeI2,(s),-192.464,120.4992,-209.2
BeO,(s alpha),-608.3536,13.76536,-579.0656
BeO,(g),129.704,197.52664,104.1816
BeO2-2,(aq),-790.776,158.992,-640.152
BeSO4,(s alpha),-1205.2012,77.98976,-1093.86496
BeSO4.4H2O,(s),-2423.74936,232.96512,-2080.66136
BeWO4,(s),-1514.608,88.36608,-1405.824
BF,(g),-122.1728,200.37176,-149.7872
BF3,(g),-1137.002,254.01064,-1120.34968
BF4-1,(aq),-1574.8576,179.912,-1486.9936
BH,(g),449.61264,171.7532,419.61336
BH4-1,(aq),48.15784,110.4576,114.26504
BN,(g),647.474,212.17064,614.50408
BN,(s),-254.3872,14.81136,-228.4464
BO,(g),25.104,203.42608,-4.184
BO2,(g),-300.4112,229.45056,-305.8504
BO2-1,(aq),-772.3664,-37.2376,-678.93768
Br-1,(aq),-121.5452,82.4248,-103.9724
Br2,(l),0,152.230656,0
Br2,(g),30.907208,245.353944,3.142184
Br2Cl-1,(aq),-170.2888,188.6984,-128.4488
Br3-1,(aq),-130.41528,215.476,-107.06856
BrCl,(g),14.644,239.99424,-0.96232
BrF,(g),-93.84712,228.8648,-109.16056
BrF3,(l),-300.8296,178.2384,-240.58
BrF3,(g),-255.60056,292.41976,-229.45056
BrF5,(l),-458.5664,225.0992,-351.8744
BrO,(g),125.77104,237.442,108.24008
BrO-1,(aq),-94.14,41.84,-33.472
BrO3-1,(aq),-83.68,163.176,1.6736
C,(s diamond),1.8966072,2.376512,2.899512
C,(s graphite),0,5.694424,0
C-1,(g),587.852,151.29344,550.6144
C12H22O11,(s),-2225.4696,360.2424,-1544.64912
C2,(g),837.6368,199.28392,781.5712
C2-1,(g),443.504,196.48064,393.296
C3,(g),820.064,237.2328,754.3752
C3H6,(g cyclopropane),53.30416,237.442,104.3908
C3O2,(l),-117.27752,181.08352,-105.0184
C3O2,(g),-93.7216,276.3532,-109.83
C4H10CH3(CH2)2CH3,(g n-butane),-126.1476,310.11808,-17.1544
C4H8,(g cyclobutane),26.65208,265.39112,110.0392
C4N2,(g),533.46,289.99304,510.8664
C5H10,(g cyclopentane),-77.23664,292.88,38.61832
C5H10,(l cyclopentane),-105.77152,204.26288,36.4008
C6H12,(g cyclohexane),-123.13512,298.23552,31.75656
C6H12,(l cyclohexane),-156.23056,204.34656,26.65208
C6H5CH3,(l toluene),12.00808,220.95704,113.76296
C6H5CH3,(g toluene),49.9988,320.66176,122.00544
C6H5COOH,(s benzoic acid),-385.05352,167.5692,-245.26608
C6H5OH,(g phenol),-96.35752,315.59912,-32.88624
C6H5OH,(s phenol),-165.01696,144.01328,-50.4172
C6H6,(l benzene),48.99464,173.25944,124.34848
C6H6,(g benzene),82.92688,269.19856,129.66216
C7H14,(l cycloheptane),-156.77448,242.54648,54.05728
C8H16,(l cyclooctane),-169.78672,262.00208,77.8224
Ca,(s),0,41.4216,0
Ca,(l),10.92024,50.66824,8.20064
Ca,(g),179.2844,154.76616,145.51952
Ca(ClO4)2.4H2O,(s),-1948.9072,433.4624,-1476.82648
Ca(H2PO4)2.H2O,(s),-3409.66712,259.8264,-3058.42032
Ca(IO3)2,(s),-1002.4864,230.12,-839.3104
Ca(IO3)2.6H2O,(s),-2780.6864,451.872,-2267.728
Ca(NO3)2,(s),-938.38752,193.3008,-743.20392
Ca(NO3)2.2H2O,(s),-1540.758,269.4496,-1229.34288
Ca(NO3)2.3H2O,(s),-1838.0312,319.2392,-1471.9312
Ca(NO3)2.4H2O,(s),-2132.33376,375.3048,-1713.47352
Ca(OH)2,(s),-986.1688,83.38712,-898.514
Ca[Mg(CO3)2],(s dolomite),-2326.304,155.18456,-2163.5464
Ca+1,(g),775.2952,160.535896,733.4552
Ca+2,(aq),-542.83216,-53.1368,-553.5432
Ca10(PO4)6(OH)2,(s hydroxyapatite),-13476.664,780.7344,-12677.52
Ca10(PO4)6F2,(s fluorapatite),-13744.44,775.7136,-12982.952
Ca2P2O7,(s beta),-3338.832,189.24232,-3132.1424
Ca2SiO4,(s beta),-2307.476,127.73752,-2192.8344
Ca2SiO4,(s gamma),-2317.936,120.79208,-2201.2024
Ca3(AsO4)2,(s),-3298.6656,225.936,-3063.1064
Ca3(PO4)2,(s beta),-4120.8216,235.9776,-3884.844
Ca3(PO4)2,(s alpha),-4109.9432,240.91472,-3875.6392
CaBr2,(g),-384.928,314.6368,-420.95224
CaBr2,(s),-683.2472,129.704,-664.12632
CaBr2,(l),-662.99664,147.86256,-649.31496
CaBr2.6H2O,(s),-2506.216,410.032,-2153.0864
CaC2,(s),-59.8312,69.95648,-64.852
CaC2O4.H2O,(s),-1674.8552,156.4816,-1513.9804
CaCl2,(s),-795.7968,104.6,-748.0992
CaCl2,(l),-774.04,123.8464,-732.2
CaCl2,(g),-471.5368,289.9512,-479.068
CaCO3,(s aragonite),-1207.12584,88.7008,-1127.7972
CaCO3,(s calcite),-1206.91664,92.8848,-1128.8432
CaCrO4,(s),-1379.0464,133.888,-1277.3752
CaF2,(g),-782.408,273.6336,-794.96
CaF2,(s),-1219.636,68.86864,-1167.336
CaF2,(l),-1184.072,92.59192,-1142.232
CaH2,(s),-186.188,41.84,-147.2768
CaHPO4,(s),-1814.3916,111.37808,-1681.25672
CaHPO4.2H2O,(s),-2403.58248,189.45152,-2154.76
CaI2,(l),-500.15536,178.94968,-506.51504
CaI2,(s),-536.8072,145.26848,-533.12528
CaI2,(g),-258.1528,327.43984,-308.7792
CaMoO4,(s),-1541.3856,122.5912,-1434.6936
CaO,(s),-635.1312,38.19992,-603.542
CaO,(l),-557.35064,62.29976,-532.95792
CaO.2Al2O3,(s),-3977.7288,177.82,-3770.6208
CaO.2B2O3,(s),-3360.25408,134.7248,-3167.12064
CaO.Al2O3,(s),-2326.304,114.2232,-2208.7336
CaO.B2O3,(s),-2030.95544,104.85104,-1924.09608
CaO.Fe2O3,(s),-1520.34008,145.35216,-1412.81128
CaO.MgO.2SiO2,(s diopside),-3206.1992,142.92544,-3032.1448
CaO.V2O5,(s),-2329.27464,179.0752,-2169.69688
CaS,(s),-474.884,56.484,-469.8632
CaSe,(s),-368.192,66.944,-363.1712
CaSeO4.2H2O,(s),-1706.6536,221.752,-1486.9936
CaSiO3,(s pseudowollastonite),-1628.4128,87.36192,-1544.7328
CaSiO3,(s wollastonite),-1634.93984,81.92272,-1549.71176
CaSO3.H2O,(s),-1752.6776,184.096,-1555.1928
CaSO4,(s anhydrite insoluble),-1434.10784,106.692,-1321.85112
CaSO4,(s alpha soluble),-1425.23776,108.3656,-1313.48312
CaSO4,(s beta soluble),-1420.80272,108.3656,-1309.04808
CaSO4.0.5H2O,(s beta micro),-1574.6484,134.3064,-1435.86512
CaSO4.0.5H2O,(s alpha macro),-1576.7404,130.5408,-1436.82744
CaSO4.2H2O,(s),-2022.62928,194.1376,-1797.4464
CaTiO3,(s perovskite),-1660.6296,93.63792,-1575.276
CaTiSiO5,(s sphene),-2603.2848,129.20192,-2461.8656
CaWO4,(s),-1645.1488,126.39864,-1538.49864
CaZrO3,(s),-1766.9032,100.08128,-1681.1312
CBr,(g),510.448,233.4672,464.424
CCl,(g),502.08,224.30424,468.608
Cd,(g),112.00568,167.636144,77.44584
Cd,(s gamma),0,51.75608,0
Cd,(s alpha),-0.58576,51.75608,-0.58576
Cd(CN)4-2,(aq),428.0232,322.168,507.5192
Cd(NH3)4+2,(aq),-450.1984,336.3936,-226.3544
CdBr2,(s),-316.18488,137.2352,-296.31088
CdBr2.4H2O,(s),-1492.55832,316.3104,-1248.032808
CdCl2,(s),-391.49688,115.2692,-343.96664
CdCl2.2.5H2O,(s),-1131.93936,227.1912,-944.094496
CdCl3-1,(aq),-561.0744,202.924,-487.0176
CdCO3,(s),-750.6096,92.4664,-669.44
CdF2,(s),-700.4016,77.404,-647.6832
CdI2,(s),-202.924,161.084,-201.37592
CdI4-2,(aq),-341.8328,326.352,-315.892
CdO,(s),-258.1528,54.8104,-228.4464
CdS,(s),-161.9208,64.852,-156.4816
CdSb,(s),-14.39296,92.8848,-13.01224
CdSeO3,(s),-575.3,142.256,-497.896
CdSeO4,(s),-633.0392,164.4312,-531.7864
CdSiO3,(s),-1189.0928,97.4872,-1105.4128
CdSO4,(s),-933.28304,123.038888,-822.7836
CdSO4.8/3H2O,(s),-1729.37272,229.630472,-1465.337216
CdSO4.H2O,(s),-1239.55184,154.029776,-1068.84464
CdTe,(s),-92.4664,100.416,-92.048
CF,(g),255.224,212.92376,221.752
CF+1,(g),1149.3448,201.2504,1115.036
CF2,(g),-182.004,240.70552,-191.6272
CF2+1,(g),941.8184,246.6468,924.2456
CH3(CH2)2CH2OH,(g 2-butanol),-274.6796,362.7528,-150.79136
CH3(CH2)2CH2OH,(l 1-butanol),-327.10512,226.3544,-162.50656
CH3(CH2)2CH3,(l n-butane),-147.65336,230.9568,-15.0624
CH3(CH2)3CH3,(g pentane),-146.44,348.9456,-8.368
CH3(CH2)4CH3,(g hexane),-167.19264,388.40072,-0.25104
CH3(CH2)4CH3,(l hexane),-198.82368,296.05984,-3.80744
CH3(CH2)5CH3,(g heptane),-187.77792,427.89768,7.99144
CH3(CH2)5CH3,(l heptane),-224.38792,326.01728,1.75728
CH3(CH2)6CH3,(l octane),-249.95216,357.732,7.40568
CH3(CH2)6CH3,(g octane),-208.44688,466.7252,16.40128
CH3(CH2)7CH3,(l nonane),-275.47456,393.67256,11.75704
CH3(CH2)7CH3,(g nonane),-229.03216,505.67824,24.81112
CH3(CH2)8CH3,(l decane),-301.0388,425.5128,-17.53096
CH3CH2CH2OH,(l 1-propanol),-304.00944,194.556,-170.62352
CH3CH2CH2OH,(g 1-propnaol),-256.39552,324.72024,-161.79528
CH3CH2CH3,(g propane),-103.84688,270.20272,-23.55592
CH3CH2CHOHCH3,(g 2-butanol),-292.62896,358.9872,-167.61104
CH3CH2CHOHCH3,(l 2-butanol),-342.58592,225.0992,-177.02504
CH3CH2OCH2CH3,(l diethyl ether),-273.2152,253.132,-116.64992
CH3CH2OCH2CH3,(g diethyl ether),-252.12784,342.6696,-122.34016
CH3CH2OH,(l ethanol),-276.9808,161.04216,-174.17992
CH3CH2OH,(g ethanol),-234.42952,282.58736,-167.90392
CH3CH3,(g ethane),-84.68416,229.11584,-32.80256
CH3CHOHCH3,(g 2-propanol),-272.42024,309.90888,-173.38496
CH3CHOHCH3,(l 2-propanol),-317.85848,180.58144,-180.28856
CH3COCH3,(l acetone),-247.60912,200.4136,-155.72848
